,cell,long,lat,order,hole,piece,group,Mean_veg
1,107812,-78.7499999997772,1.47217019867852,1,FALSE,1,107812.1,NA
2,107812,-79.0110418931791,1.33890549030198,2,FALSE,1,107812.1,NA
3,107812,-79.2720219427179,1.47338570967431,3,FALSE,1,107812.1,NA
4,107812,-79.2721246844934,1.74123457554672,4,FALSE,1,107812.1,NA
5,107812,-79.0111439717606,1.87438577181017,5,FALSE,1,107812.1,NA
6,107812,-78.7499999997838,1.7398008308486,6,FALSE,1,107812.1,NA
7,107812,-78.7499999997772,1.47217019867852,7,FALSE,1,107812.1,NA
8,107892,-79.7932077041948,0.670291387858323,1,FALSE,1,107892.1,0.259102608695652
9,107892,-80.0536984124608,0.536447454863153,2,FALSE,1,107892.1,0.259102608695652
10,107892,-80.314185498789,0.670817309949053,3,FALSE,1,107892.1,0.259102608695652
11,107892,-80.3143437986193,0.939131917191778,4,FALSE,1,107892.1,0.259102608695652
12,107892,-80.0539604103331,1.07286778820369,5,FALSE,1,107892.1,0.259102608695652
13,107892,-79.7933117858239,0.938396509459585,6,FALSE,1,107892.1,0.259102608695652
14,107892,-79.7932077041948,0.670291387858323,7,FALSE,1,107892.1,0.259102608695652
15,107974,-79.2718165120857,0.669751124132613,1,FALSE,1,107974.1,0.108049397590361
16,107974,-79.5325354515089,0.536020802083654,2,FALSE,1,107974.1,0.108049397590361
17,107974,-79.7932077041948,0.670291387858323,3,FALSE,1,107974.1,0.108049397590361
18,107974,-79.7933117858239,0.938396509459585,4,FALSE,1,107974.1,0.108049397590361
19,107974,-79.5326905279566,1.07201641664405,5,FALSE,1,107974.1,0.108049397590361
20,107974,-79.2718678631308,0.937640951153595,6,FALSE,1,107974.1,0.108049397590361
21,107974,-79.2718165120857,0.669751124132613,7,FALSE,1,107974.1,0.108049397590361
22,108054,-79.5324966865104,0.268011976455385,1,FALSE,1,108054.1,0.0987271604938272
23,108054,-79.7931036313017,0.134059912877614,2,FALSE,1,108054.1,0.0987271604938272
24,108054,-80.0536329197854,0.268225423714126,3,FALSE,1,108054.1,0.0987271604938272
25,108054,-80.0536984124608,0.536447454863153,4,FALSE,1,108054.1,0.0987271604938272
26,108054,-79.7932077041948,0.670291387858323,5,FALSE,1,108054.1,0.0987271604938272
27,108054,-79.5325354515089,0.536020802083654,6,FALSE,1,108054.1,0.0987271604938272
28,108054,-79.5324966865104,0.268011976455385,7,FALSE,1,108054.1,0.0987271604938272
29,108055,-78.7499999997571,0.669196489261637,1,FALSE,1,108055.1,0.137525882352941
30,108055,-79.0109526034596,0.535582679088791,2,FALSE,1,108055.1,0.137525882352941
31,108055,-79.2718165120857,0.669751124132613,3,FALSE,1,108055.1,0.137525882352941
32,108055,-79.2718678631308,0.937640951153595,4,FALSE,1,108055.1,0.137525882352941
33,108055,-79.0110036228392,1.07114194756898,5,FALSE,1,108055.1,0.137525882352941
34,108055,-78.7499999997638,0.936865207856804,6,FALSE,1,108055.1,0.137525882352941
35,108055,-78.7499999997571,0.669196489261637,7,FALSE,1,108055.1,0.137525882352941
36,108135,-79.7931036312946,-0.134059907834281,1,FALSE,1,108135.1,0.19378064516129
37,108135,-80.053632919771,-0.268225418709698,2,FALSE,1,108135.1,0.19378064516129
38,108135,-80.31402721192,-0.134165218481544,3,FALSE,1,108135.1,0.19378064516129
39,108135,-80.3140272119273,0.134165223447035,4,FALSE,1,108135.1,0.19378064516129
40,108135,-80.0536329197854,0.268225423714126,5,FALSE,1,108135.1,0.19378064516129
41,108135,-79.7931036313017,0.134059912877614,6,FALSE,1,108135.1,0.19378064516129
42,108135,-79.7931036312946,-0.134059907834281,7,FALSE,1,108135.1,0.19378064516129
43,108136,-79.0109398499941,0.26779280390817,1,FALSE,1,108136.1,0.260566346153846
44,108136,-79.2717651654427,0.133951744308808,2,FALSE,1,108136.1,0.260566346153846
45,108136,-79.5324966865104,0.268011976455385,3,FALSE,1,108136.1,0.260566346153846
46,108136,-79.5325354515089,0.536020802083654,4,FALSE,1,108136.1,0.260566346153846
47,108136,-79.2718165120857,0.669751124132613,5,FALSE,1,108136.1,0.260566346153846
48,108136,-79.0109526034596,0.535582679088791,6,FALSE,1,108136.1,0.260566346153846
49,108136,-79.0109398499941,0.26779280390817,7,FALSE,1,108136.1,0.260566346153846
50,108216,-80.053698412432,-0.536447449858747,1,FALSE,1,108216.1,0.116782978723404
51,108216,-80.3141854987526,-0.670817304983612,2,FALSE,1,108216.1,0.116782978723404
52,108216,-80.5744533313703,-0.536862657001864,3,FALSE,1,108216.1,0.116782978723404
53,108216,-80.5743603379598,-0.268433154059735,4,FALSE,1,108216.1,0.116782978723404
54,108216,-80.31402721192,-0.134165218481544,5,FALSE,1,108216.1,0.116782978723404
55,108216,-80.053632919771,-0.268225418709698,6,FALSE,1,108216.1,0.116782978723404
56,108216,-80.053698412432,-0.536447449858747,7,FALSE,1,108216.1,0.116782978723404
57,108217,-79.2717651654357,-0.133951739187808,1,FALSE,1,108217.1,0.181383870967742
58,108217,-79.5324966864964,-0.2680119713732,2,FALSE,1,108217.1,0.181383870967742
59,108217,-79.7931036312946,-0.134059907834281,3,FALSE,1,108217.1,0.181383870967742
60,108217,-79.7931036313017,0.134059912877614,4,FALSE,1,108217.1,0.181383870967742
61,108217,-79.5324966865104,0.268011976455385,5,FALSE,1,108217.1,0.181383870967742
62,108217,-79.2717651654427,0.133951744308808,6,FALSE,1,108217.1,0.181383870967742
63,108217,-79.2717651654357,-0.133951739187808,7,FALSE,1,108217.1,0.181383870967742
64,108297,-79.5325354514808,-0.536020797001486,1,FALSE,1,108297.1,0.118843181818182
65,108297,-79.7932077041593,-0.670291382815029,2,FALSE,1,108297.1,0.118843181818182
66,108297,-80.053698412432,-0.536447449858747,3,FALSE,1,108297.1,0.118843181818182
67,108297,-80.053632919771,-0.268225418709698,4,FALSE,1,108297.1,0.118843181818182
68,108297,-79.7931036312946,-0.134059907834281,5,FALSE,1,108297.1,0.118843181818182
69,108297,-79.5324966864964,-0.2680119713732,6,FALSE,1,108297.1,0.118843181818182
70,108297,-79.5325354514808,-0.536020797001486,7,FALSE,1,108297.1,0.118843181818182
71,108298,-78.7499999997369,-0.133840705654522,1,FALSE,1,108298.1,0.0681346153846154
72,108298,-79.0109398499803,-0.267792798748408,2,FALSE,1,108298.1,0.0681346153846154
73,108298,-79.2717651654357,-0.133951739187808,3,FALSE,1,108298.1,0.0681346153846154
74,108298,-79.2717651654427,0.133951744308808,4,FALSE,1,108298.1,0.0681346153846154
75,108298,-79.0109398499941,0.26779280390817,5,FALSE,1,108298.1,0.0681346153846154
76,108298,-78.7499999997437,0.133840710853008,6,FALSE,1,108298.1,0.0681346153846154
77,108298,-78.7499999997369,-0.133840705654522,7,FALSE,1,108298.1,0.0681346153846154
78,108377,-80.5751043905912,-1.34209271443899,1,FALSE,1,108377.1,0.17878431372549
79,108377,-80.8356183546203,-1.47684014953111,2,FALSE,1,108377.1,0.17878431372549
80,108377,-81.0956614290722,-1.34309714300706,3,FALSE,1,108377.1,0.17878431372549
81,108377,-81.0952973517168,-1.07450135788784,4,FALSE,1,108377.1,0.17878431372549
82,108377,-80.8349758753442,-0.939847200493543,5,FALSE,1,108377.1,0.17878431372549
83,108377,-80.5748253426392,-1.07369608950716,6,FALSE,1,108377.1,0.17878431372549
84,108377,-80.5751043905912,-1.34209271443899,7,FALSE,1,108377.1,0.17878431372549
85,108378,-79.7933117857741,-0.93839650441633,1,FALSE,1,108378.1,0.164461052631579
86,108378,-80.0539604102756,-1.07286778319937,2,FALSE,1,108378.1,0.164461052631579
87,108378,-80.3143437985683,-0.939131912226387,3,FALSE,1,108378.1,0.164461052631579
88,108378,-80.3141854987526,-0.670817304983612,4,FALSE,1,108378.1,0.164461052631579
89,108378,-80.053698412432,-0.536447449858747,5,FALSE,1,108378.1,0.164461052631579
90,108378,-79.7932077041593,-0.670291382815029,6,FALSE,1,108378.1,0.164461052631579
91,108378,-79.7933117857741,-0.93839650441633,7,FALSE,1,108378.1,0.164461052631579
92,108379,-79.0109526034322,-0.53558267392904,1,FALSE,1,108379.1,0.150113636363636
93,108379,-79.271816512051,-0.669751119011643,2,FALSE,1,108379.1,0.150113636363636
94,108379,-79.5325354514808,-0.536020797001486,3,FALSE,1,108379.1,0.150113636363636
95,108379,-79.5324966864964,-0.2680119713732,4,FALSE,1,108379.1,0.150113636363636
96,108379,-79.2717651654357,-0.133951739187808,5,FALSE,1,108379.1,0.150113636363636
97,108379,-79.0109398499803,-0.267792798748408,6,FALSE,1,108379.1,0.150113636363636
98,108379,-79.0109526034322,-0.53558267392904,7,FALSE,1,108379.1,0.150113636363636
99,108459,-80.0541569372096,-1.34105930748893,1,FALSE,1,108459.1,0.225717647058824
100,108459,-80.3148187758888,-1.47572066591353,2,FALSE,1,108459.1,0.225717647058824
101,108459,-80.5751043905912,-1.34209271443899,3,FALSE,1,108459.1,0.225717647058824
102,108459,-80.5748253426392,-1.07369608950716,4,FALSE,1,108459.1,0.225717647058824
103,108459,-80.3143437985683,-0.939131912226387,5,FALSE,1,108459.1,0.225717647058824
104,108459,-80.0539604102756,-1.07286778319937,6,FALSE,1,108459.1,0.225717647058824
105,108459,-80.0541569372096,-1.34105930748893,7,FALSE,1,108459.1,0.225717647058824
106,108460,-79.2718678630822,-0.937640946032654,1,FALSE,1,108460.1,0.21649619047619
107,108460,-79.5326905279004,-1.07201641156195,2,FALSE,1,108460.1,0.21649619047619
108,108460,-79.7933117857741,-0.93839650441633,3,FALSE,1,108460.1,0.21649619047619
109,108460,-79.7932077041593,-0.670291382815029,4,FALSE,1,108460.1,0.21649619047619
110,108460,-79.5325354514808,-0.536020797001486,5,FALSE,1,108460.1,0.21649619047619
111,108460,-79.271816512051,-0.669751119011643,6,FALSE,1,108460.1,0.21649619047619
112,108460,-79.2718678630822,-0.937640946032654,7,FALSE,1,108460.1,0.21649619047619
113,108539,-80.3151354923374,-1.7439877797689,1,FALSE,1,108539.1,0.213961
114,108539,-80.575848684012,-1.87882752809277,2,FALSE,1,108539.1,0.213961
115,108539,-80.836046759543,-1.74530722898707,3,FALSE,1,108539.1,0.213961
116,108539,-80.8356183546203,-1.47684014953111,4,FALSE,1,108539.1,0.213961
117,108539,-80.5751043905912,-1.34209271443899,5,FALSE,1,108539.1,0.213961
118,108539,-80.3148187758888,-1.47572066591353,6,FALSE,1,108539.1,0.213961
119,108539,-80.3151354923374,-1.7439877797689,7,FALSE,1,108539.1,0.213961
120,108540,-79.5328068525118,-1.33999690588089,1,FALSE,1,108540.1,0.172598958333333
121,108540,-79.7936240830923,-1.47456918817085,2,FALSE,1,108540.1,0.172598958333333
122,108540,-80.0541569372096,-1.34105930748893,3,FALSE,1,108540.1,0.172598958333333
123,108540,-80.0539604102756,-1.07286778319937,4,FALSE,1,108540.1,0.172598958333333
124,108540,-79.7933117857741,-0.93839650441633,5,FALSE,1,108540.1,0.172598958333333
125,108540,-79.5326905279004,-1.07201641156195,6,FALSE,1,108540.1,0.172598958333333
126,108540,-79.5328068525118,-1.33999690588089,7,FALSE,1,108540.1,0.172598958333333
127,108541,-78.7499999997164,-0.936865202658358,1,FALSE,1,108541.1,0.08088125
128,108541,-79.0110036227844,-1.07114194240928,2,FALSE,1,108541.1,0.08088125
129,108541,-79.2718678630822,-0.937640946032654,3,FALSE,1,108541.1,0.08088125
130,108541,-79.271816512051,-0.669751119011643,4,FALSE,1,108541.1,0.08088125
131,108541,-79.0109526034322,-0.53558267392904,5,FALSE,1,108541.1,0.08088125
132,108541,-78.7499999997233,-0.669196484063171,6,FALSE,1,108541.1,0.08088125
133,108541,-78.7499999997164,-0.936865202658358,7,FALSE,1,108541.1,0.08088125
134,108621,-79.7938323250366,-1.7426302218287,1,FALSE,1,108621.1,0.188683962264151
135,108621,-80.0546811286935,-1.877388133591,2,FALSE,1,108621.1,0.188683962264151
136,108621,-80.3151354923374,-1.7439877797689,3,FALSE,1,108621.1,0.188683962264151
137,108621,-80.3148187758888,-1.47572066591353,4,FALSE,1,108621.1,0.188683962264151
138,108621,-80.0541569372096,-1.34105930748893,5,FALSE,1,108621.1,0.188683962264151
139,108621,-79.7936240830923,-1.47456918817085,6,FALSE,1,108621.1,0.188683962264151
140,108621,-79.7938323250366,-1.7426302218287,7,FALSE,1,108621.1,0.188683962264151
141,108622,-79.0110418931105,-1.33890548514232,1,FALSE,1,108622.1,0.128430681818182
142,108622,-79.2720219426415,-1.47338570455346,2,FALSE,1,108622.1,0.128430681818182
143,108622,-79.5328068525118,-1.33999690588089,3,FALSE,1,108622.1,0.128430681818182
144,108622,-79.5326905279004,-1.07201641156195,4,FALSE,1,108622.1,0.128430681818182
145,108622,-79.2718678630822,-0.937640946032654,5,FALSE,1,108622.1,0.128430681818182
146,108622,-79.0110036227844,-1.07114194240928,6,FALSE,1,108622.1,0.128430681818182
147,108622,-79.0110418931105,-1.33890548514232,7,FALSE,1,108622.1,0.128430681818182
148,108702,-80.0550088367749,-2.14551866416903,1,FALSE,1,108702.1,0.16584387755102
149,108702,-80.3159275106743,-2.28044991049632,2,FALSE,1,108702.1,0.16584387755102
150,108702,-80.576313989705,-2.14715841977013,3,FALSE,1,108702.1,0.16584387755102
151,108702,-80.575848684012,-1.87882752809277,4,FALSE,1,108702.1,0.16584387755102
152,108702,-80.3151354923374,-1.7439877797689,5,FALSE,1,108702.1,0.16584387755102
153,108702,-80.0546811286935,-1.877388133591,6,FALSE,1,108702.1,0.16584387755102
154,108702,-80.0550088367749,-2.14551866416903,7,FALSE,1,108702.1,0.16584387755102
155,108703,-79.2721246844031,-1.74123457042592,1,FALSE,1,108703.1,0.108279545454545
156,108703,-79.5331171239637,-1.87590753826402,2,FALSE,1,108703.1,0.108279545454545
157,108703,-79.7938323250366,-1.7426302218287,3,FALSE,1,108703.1,0.108279545454545
158,108703,-79.7936240830923,-1.47456918817085,4,FALSE,1,108703.1,0.108279545454545
159,108703,-79.5328068525118,-1.33999690588089,5,FALSE,1,108703.1,0.108279545454545
160,108703,-79.2720219426415,-1.47338570455346,6,FALSE,1,108703.1,0.108279545454545
161,108703,-79.2721246844031,-1.74123457042592,7,FALSE,1,108703.1,0.108279545454545
162,108782,-80.3164028775239,-2.54863790425477,1,FALSE,1,108782.1,0.125181818181818
163,108782,-80.5774311073451,-2.68372894453349,2,FALSE,1,108782.1,0.125181818181818
164,108782,-80.8377610626944,-2.55054542746167,3,FALSE,1,108782.1,0.125181818181818
165,108782,-80.8371180708409,-2.28216365374504,4,FALSE,1,108782.1,0.125181818181818
166,108782,-80.576313989705,-2.14715841977013,5,FALSE,1,108782.1,0.125181818181818
167,108782,-80.3159275106743,-2.28044991049632,6,FALSE,1,108782.1,0.125181818181818
168,108782,-80.3164028775239,-2.54863790425477,7,FALSE,1,108782.1,0.125181818181818
169,108783,-79.5333110971751,-2.14383138758831,1,FALSE,1,108783.1,0.179412389380531
170,108783,-79.7943530830019,-2.27868536067583,2,FALSE,1,108783.1,0.179412389380531
171,108783,-80.0550088367749,-2.14551866416903,3,FALSE,1,108783.1,0.179412389380531
172,108783,-80.0546811286935,-1.877388133591,4,FALSE,1,108783.1,0.179412389380531
173,108783,-79.7938323250366,-1.7426302218287,5,FALSE,1,108783.1,0.179412389380531
174,108783,-79.5331171239637,-1.87590753826402,6,FALSE,1,108783.1,0.179412389380531
175,108783,-79.5333110971751,-2.14383138758831,7,FALSE,1,108783.1,0.179412389380531
176,108784,-78.7499999996958,-1.73980082565025,1,FALSE,1,108784.1,0.218059504132231
177,108784,-79.0111439716646,-1.8743857666506,2,FALSE,1,108784.1,0.218059504132231
178,108784,-79.2721246844031,-1.74123457042592,3,FALSE,1,108784.1,0.218059504132231
179,108784,-79.2720219426415,-1.47338570455346,4,FALSE,1,108784.1,0.218059504132231
180,108784,-79.0110418931105,-1.33890548514232,5,FALSE,1,108784.1,0.218059504132231
181,108784,-78.7499999997027,-1.47217019348013,6,FALSE,1,108784.1,0.218059504132231
182,108784,-78.7499999996958,-1.73980082565025,7,FALSE,1,108784.1,0.218059504132231
183,108865,-79.0112077887505,-2.142096660043,1,FALSE,1,108865.1,0.147459550561798
184,108865,-79.2723816160209,-2.27687011944685,2,FALSE,1,108865.1,0.147459550561798
185,108865,-79.5333110971751,-2.14383138758831,3,FALSE,1,108865.1,0.147459550561798
186,108865,-79.5331171239637,-1.87590753826402,4,FALSE,1,108865.1,0.147459550561798
187,108865,-79.2721246844031,-1.74123457042592,5,FALSE,1,108865.1,0.147459550561798
188,108865,-79.0111439716646,-1.8743857666506,6,FALSE,1,108865.1,0.147459550561798
189,108865,-79.0112077887505,-2.142096660043,7,FALSE,1,108865.1,0.147459550561798
190,108946,-79.2725358279541,-2.54465074432018,1,FALSE,1,108946.1,0.115858139534884
191,108946,-79.533776801022,-2.67960044173878,2,FALSE,1,108946.1,0.115858139534884
192,108946,-79.7946656427975,-2.5466729457074,3,FALSE,1,108946.1,0.115858139534884
193,108946,-79.7943530830019,-2.27868536067583,4,FALSE,1,108946.1,0.115858139534884
194,108946,-79.5333110971751,-2.14383138758831,5,FALSE,1,108946.1,0.115858139534884
195,108946,-79.2723816160209,-2.27687011944685,6,FALSE,1,108946.1,0.115858139534884
196,108946,-79.2725358279541,-2.54465074432018,7,FALSE,1,108946.1,0.115858139534884
197,109026,-79.5340485712599,-2.94743936760377,1,FALSE,1,109026.1,0.102578448275862
198,109026,-79.7953952554217,-3.08255186099602,2,FALSE,1,109026.1,0.102578448275862
199,109026,-80.0562547479543,-2.94973413487404,3,FALSE,1,109026.1,0.102578448275862
200,109026,-80.055795613721,-2.68169504487763,4,FALSE,1,109026.1,0.102578448275862
201,109026,-79.7946656427975,-2.5466729457074,5,FALSE,1,109026.1,0.102578448275862
202,109026,-79.533776801022,-2.67960044173878,6,FALSE,1,109026.1,0.102578448275862
203,109026,-79.5340485712599,-2.94743936760377,7,FALSE,1,109026.1,0.102578448275862
204,109027,-78.7499999996749,-2.5425714496981,1,FALSE,1,109027.1,0.154338947368421
205,109027,-79.0113610062369,-2.67744534843208,2,FALSE,1,109027.1,0.154338947368421
206,109027,-79.2725358279541,-2.54465074432018,3,FALSE,1,109027.1,0.154338947368421
207,109027,-79.2723816160209,-2.27687011944685,4,FALSE,1,109027.1,0.154338947368421
208,109027,-79.0112077887505,-2.142096660043,5,FALSE,1,109027.1,0.154338947368421
209,109027,-78.7499999996819,-2.27500427054034,6,FALSE,1,109027.1,0.154338947368421
210,109027,-78.7499999996749,-2.5425714496981,7,FALSE,1,109027.1,0.154338947368421
211,109108,-79.0114504199406,-2.94507730667695,1,FALSE,1,109108.1,0.144899159663866
212,109108,-79.2728958103441,-3.08012256180667,2,FALSE,1,109108.1,0.144899159663866
213,109108,-79.5340485712599,-2.94743936760377,3,FALSE,1,109108.1,0.144899159663866
214,109108,-79.533776801022,-2.67960044173878,4,FALSE,1,109108.1,0.144899159663866
215,109108,-79.2725358279541,-2.54465074432018,5,FALSE,1,109108.1,0.144899159663866
216,109108,-79.0113610062369,-2.67744534843208,6,FALSE,1,109108.1,0.144899159663866
217,109108,-79.0114504199406,-2.94507730667695,7,FALSE,1,109108.1,0.144899159663866
218,109188,-80.0578956025797,-3.75361449436021,1,FALSE,1,109188.1,0.147307207207207
219,109188,-80.3195749792724,-3.88900690525534,2,FALSE,1,109188.1,0.147307207207207
220,109188,-80.5804127396629,-3.75640303674529,3,FALSE,1,109188.1,0.147307207207207
221,109188,-80.579573765508,-3.48830197269258,4,FALSE,1,109188.1,0.147307207207207
222,109188,-80.3181468898579,-3.35298750735727,5,FALSE,1,109188.1,0.147307207207207
223,109188,-80.0573046987378,-3.48569723192499,6,FALSE,1,109188.1,0.147307207207207
224,109188,-80.0578956025797,-3.75361449436021,7,FALSE,1,109188.1,0.147307207207207
